,weighted columns
0,959.1858
1,1448.6445
2,1572.8727000000001
3,529.6103
4,882.0387999999999
5,3896.388
6,5313.909099999998
7,1240.4156
8,864.9919
9,2268.5276000000003
10,1369.4934
11,204.2252
12,2240.4102
13,303.31499999999994
14,18.0153
15,730.8132999999999
16,1027.2682
17,994.1571
18,218.2502
19,1072.221
20,119.1192
21,695.7856999999999
22,327.33639999999997
23,89.0932
24,1097.2984000000001
25,655.7848
26,501.5753
27,254.28559999999996
28,835.9274999999999
29,1458.6821
30,155.1546
31,743.9115
32,119.1192
33,89.0932
34,890.0176999999999
35,388.45920000000007
36,565.6158999999999
37,132.1179
38,558.6681
39,2856.2400000000002
40,474.5518
41,537.6073
42,1154.358
43,1398.5424999999998
44,404.4601
45,1060.2067000000002
46,1061.2396000000003
47,409.39050000000003
48,1895.3449000000005
49,1526.7166
50,89.0932
51,574.694
52,18.0153
53,985.0509
54,2248.7347
55,923.1089999999999
56,174.201
57,424.4979
58,1685.9789999999998
59,18.0153
60,330.337
61,1676.8100000000004
62,131.1729
63,119.1192
64,18.0153
65,3103.5840000000003
66,664.7287999999999
67,430.54040000000003
68,165.1891
69,767.8734000000001
70,997.1709
71,2945.3948000000005
72,3377.7007000000003
73,748.8466999999999
74,385.41360000000003
75,2360.6063
76,807.9618999999999
77,729.8255
78,202.2508
79,402.44599999999997
80,676.7892
81,717.8410999999999
82,851.0644
83,1548.7718
84,735.8034
85,320.4084
86,684.8457
87,1054.1557
88,119.1192
89,650.7237000000001
90,1525.8808
91,4677.1971
92,1002.1212
93,18.0153
94,208.2355
95,1176.2739
96,2171.5550000000003
97,2678.9358000000007
98,18.0153
99,1894.0555000000004
100,119.1192
101,18.0153
102,261.275
103,18.0153
104,206.19650000000001
105,18.0153
106,825.9689
107,809.9134
108,1911.3029000000006
109,791.8483999999999
110,321.37479999999994
111,1082.2884000000001
112,18.0153
113,303.35619999999994
114,117.1463
115,1559.8471
116,75.0666
117,486.57239999999996
118,131.1729
119,585.7034
120,516.5883
121,466.52939999999995
122,174.201
123,384.47380000000004
124,1491.7121
125,1238.4959999999999
126,18.0153
127,18.0153
128,1238.3337
129,1264.2349
130,1712.7462
131,234.2066
132,165.1891
133,857.006
134,499.5842999999999
135,946.1126999999999
136,793.8892000000001
137,649.7804
138,1308.5792
139,238.23979999999997
140,544.5819
141,131.1729
142,18.0153
143,518.5627000000001
144,406.43300000000005
145,348.35380000000004
146,1085.3009000000002
147,1097.3333
148,302.3302
149,586.5988000000001
150,363.42980000000006
151,293.3614
152,2024.3213
153,2513.0319
154,18.0153
155,346.4225
156,1315.4506999999999
157,304.3428
158,518.5646
159,220.18
160,318.32959999999997
161,479.5266
162,146.1876
163,353.37030000000004
164,633.6951
165,18.0153
166,692.7389000000001
167,1067.0735999999997
168,1225.4821
169,155.1546
170,1327.4482000000003
171,18.0153
172,155.1546
173,1576.7769
174,1579.8221
175,875.9712
176,3893.2216000000008
177,245.31859999999998
178,1353.6277999999998
179,18.0153
180,3680.1237
181,925.9405999999999
182,131.1729
183,238.23979999999997
184,606.6529999999999
185,420.5257
186,735.9141999999999
187,1166.2212000000002
188,389.45059999999995
189,4315.794199999998
190,573.6826000000001
191,1009.1547000000002
192,233.2218
193,585.6519000000001
194,1033.2029
195,2088.4529
196,303.31499999999994
197,18.0153
198,612.785
199,18.0153
200,1055.1887000000002
201,518.5627000000001
202,233.2218
203,1395.3831
204,960.0048999999999
205,2711.9607
206,284.3314
207,448.4714
208,266.293
209,174.201
210,709.8536999999999
211,18.0153
212,18.0153
213,446.47869999999995
214,222.2404
215,578.661
216,105.0926
217,309.3177
218,906.0404000000001
219,772.8865999999999
220,775.8485999999999
221,362.44829999999996
222,2026.3406
223,1569.8044
224,208.2355
225,1038.3006
226,18.0153
227,376.3657
228,273.332
229,121.1582
230,2738.1290000000004
231,1031.0763
232,1479.6848
233,232.2768
234,1271.3982
235,2450.6927999999994
236,119.1192
237,931.1075999999999
238,18.0153
239,440.49549999999994
240,713.8639
241,543.5688000000001
242,5088.881
243,1127.339
244,115.1305
245,528.642
246,1418.5588000000002
247,1517.8392999999999
248,165.1891
249,351.4852
250,18.0153
251,525.6182
252,18.0153
253,903.0776999999999
254,853.9858
255,625.7124
256,445.5551
257,398.4339999999999
258,131.1729
259,730.8513999999999
260,390.3923
261,331.4078
262,672.8137
263,363.38999999999993
264,18.0153
265,341.3629
266,1783.0297
267,619.7526
268,1119.2128999999998
269,1150.3529
270,1550.6356
271,117.1463
272,1587.7417
273,334.3688
274,18.0153
275,2525.8732999999997
276,431.439
277,248.23320000000004
278,18.0153
279,244.3305
280,1842.0817000000002
281,18.0153
282,801.9059999999998
283,234.3158
284,323.34430000000003
285,336.3647
286,458.46430000000004
287,1357.575
288,2020.4082000000003
289,584.7069
290,132.1179
291,1504.6148
292,406.45790000000005
293,804.9762
294,607.6956
295,312.36289999999997
296,3749.4319000000014
297,2471.8985000000007
298,1739.0230000000001
299,321.3931
300,2946.325500000001
301,2413.8374
302,2713.2001
303,18.0153
304,939.065
305,1147.1714999999997
306,2561.2950999999994
307,1225.3891999999998
308,18.0153
309,1265.4184
310,307.36809999999997
311,791.0772
312,360.41089999999997
313,1317.5545
314,131.1729
315,696.8565
316,457.5193
317,18.0153
318,18.0153
319,1007.1625999999999
320,739.8168999999999
321,767.9178999999999
322,18.0153
323,1510.6674
324,18.0153
325,734.7971000000001
326,932.0942000000002
327,728.7942999999999
328,18.0153
329,155.1546
330,668.7835
331,518.5825000000001
332,204.2252
333,390.5412
334,3061.6174
335,307.36809999999997
336,18.0153
337,455.50699999999995
338,231.2489
339,390.5015
340,801.9273
341,1669.7993999999999
342,2720.2162999999996
343,694.8059999999999
344,380.48679999999996
345,236.2886
346,531.6427
347,903.9864
348,131.1729
349,18.0153
350,615.7209
351,233.2218
352,596.6333999999999
353,680.8141
354,131.1729
355,442.4866
356,1726.9549000000002
357,769.9336999999999
358,765.8096999999999
359,224.3011
360,275.3016
361,379.4506
362,743.8483999999999
363,309.3394
364,883.9471999999998
365,261.27649999999994
366,235.2608
367,18.0153
368,643.7293999999999
369,2554.9822
370,282.2924
371,406.51899999999995
372,886.9541999999999
373,717.7946000000001
374,1201.3959000000002
375,350.39129999999994
376,165.1891
377,385.4816
378,558.6282
379,294.3461
380,18.0153
381,3430.8130999999994
382,204.2252
383,710.8598999999999
384,252.2664
385,394.4454
386,1517.7759999999998
387,1072.3218000000002
388,573.6609
389,610.7276
390,616.7472
391,1292.5531
392,491.5805
393,1650.8535999999997
394,365.4274
395,424.51769999999993
396,537.5229
397,165.1891
398,230.3039
399,495.5758
400,1284.5923
401,204.2252
402,307.36650000000003
403,146.1445
404,2428.936900000001
405,4735.308299999999
406,566.6486
407,752.9001000000001
408,4319.1936
409,18.0153
410,4574.192099999999
411,18.0153
412,890.0561
413,567.6995000000001
414,328.3623
415,1159.4040999999997
416,772.8931
417,18.0153
418,840.9836
419,18.0153
420,531.6427
421,18.0153
422,491.5802999999999
423,739.7321999999999
424,1562.7935999999997
425,259.3021
426,434.5324
427,2233.5199
428,826.9817999999999
429,105.0926
430,1551.6529
431,445.5138
432,18.0153
433,1385.6317999999999
434,382.4182
435,115.1305
436,131.1729
437,646.6953
438,117.1463
439,105.0926
440,679.7630999999999
441,1772.0085000000004
442,89.0932
443,75.0666
444,483.47229999999996
445,234.2066
446,117.1463
447,4147.7319
448,432.5131999999999
449,668.8049000000001
450,454.5419
451,424.4979
452,2943.4546999999993
453,781.961
454,1764.7608
455,2906.3664999999996
456,18.0153
457,131.1729
458,908.0297
459,777.8467999999999
460,4475.1031
461,693.8610000000001
462,542.6238
463,224.3011
464,5483.274599999999
465,2787.2570999999994
466,2024.4270000000001
467,688.7914
468,1323.4261
469,181.1885
470,597.7038000000001
471,2566.9933
472,18.0153
473,307.36809999999997
474,1543.6512
475,517.6177
476,2067.3076
477,2474.9024
478,1188.3755
479,3632.3766000000005
480,723.7943
481,899.0409999999999
482,1386.4592
483,1022.1424
484,2011.2827000000002
485,2688.1531999999997
486,1034.2506999999998
487,442.46680000000003
488,500.5474
489,218.2502
490,2487.8816
491,1763.9087
492,1726.0477
493,352.43029999999993
494,204.2252
495,165.1891
496,295.3128
497,1039.1596000000002
498,131.1729
499,131.1729
500,115.1305
501,517.5566
502,474.5086
503,780.7792999999999
504,176.1705
505,131.1729
506,767.7839
507,1174.2414
508,302.3699
509,18.0153
510,4056.4215000000004
511,268.31219999999996
512,408.4918
513,2331.7373000000002
514,18.0153
515,423.44199999999995
516,18.0153
517,132.1179
518,614.6467
519,2294.6045
520,18.0153
521,89.0932
522,2199.5303
523,18.0153
524,1382.5912999999998
525,1663.9783000000002
526,228.28810000000001
527,147.1293
528,1736.9212
529,777.8912999999999
530,261.27829999999994
531,869.9997999999999
532,768.9476
533,681.7393
534,1142.1982
535,2451.0136999999995
536,789.8773
537,714.7261999999998
538,234.3158
539,5044.614799999999
540,400.51619999999997
541,415.53090000000003
542,1030.1759
543,18.0153
544,686.7755999999999
545,2032.393
546,131.1729
547,1042.1040999999998
548,305149.810100002
549,1519.7404
550,307.36650000000003
551,1376.4940000000001
552,1163.3892999999998
553,4376.034500000001
554,246.2603
555,18.0153
556,529.6501000000001
557,18.0153
558,955.1555
559,246.2603
560,2797.1064000000006
561,18.0153
562,337.3742
563,387.4743
564,218.2502
565,444.5654
566,18.0153
567,1903.2494000000002
568,592.6842
569,250.27220000000003
570,415.486
571,1057.2194
572,460.52849999999995
573,508.56790000000007
574,390.49809999999997
575,310.3025
576,464.5566
577,392.4493
578,460.48359999999997
579,323.34430000000003
580,2080.3065000000006
581,292.29389999999995
582,918.0245000000002
583,794.8935999999999
584,2185.5432000000005
585,721.8412999999999
586,18.0153
587,1582.8742000000002
588,2687.130200000001
589,131.1729
590,953.0737000000001
591,218.2502
592,1115.3215000000002
593,252.2664
594,2406.8042
595,591.7624
596,979.1768999999998
597,852.9725999999999
598,259.3452
599,494.58099999999996
600,971.2213000000002
601,174.201
602,18.0153
603,1565.67
604,131.1729
605,131.1729
606,388.46250000000003
607,1393.5872000000002
608,233.2218
609,165.1891
610,447.48639999999995
611,131.1729
612,327.4191
613,230.3039
614,246.2603
615,481.49949999999995
616,727.7645999999999
617,545.5898
618,369.4161
619,307.36809999999997
620,321.37479999999994
621,1587.9004000000002
622,1702.9248999999998
623,1216.3414
624,408.49179999999996
625,222.2404
626,2403.7651
627,117.1463
628,1700.9605
629,318.32779999999997
630,321.4163
631,422.3878
632,220.18
633,2638.997400000001
634,825.9739999999999
635,2940.4027
636,1417.6154
637,704.8357
638,117.1463
639,1289.4912
640,535.5023
641,568.5767999999999
642,208.2355
643,2346.7967
644,18.0153
645,1374.5639999999999
646,2870.1175
647,279.2917
648,2955.4320000000002
649,2462.6573000000003
650,840.9683999999999
651,2088.405
652,2396.6619
653,414.498
654,387.4743
655,953.1632
656,1368.5646
657,4187.7594
658,117.1463
659,1337.4545
660,1042.2067000000002
661,18.0153
662,4071.6712000000007
663,220.22310000000002
664,1463.7664
665,613.6587000000001
666,233.2218
667,75.0666
668,290.2731
669,18.0153
670,2050.2098
671,944.0470000000003
672,474.55159999999995
673,1434.7056999999998
674,4689.4609999999975
675,807.8909
676,2241.6993000000007
677,1720.9070000000002
678,131.1729
679,1305.4675
680,424.4482
681,1011.2222999999999
682,278.34669999999994
683,870.9698999999999
684,321.37479999999994
685,591.6614
686,1209.4017
687,340.37489999999997
688,710.7987999999999
689,1366.5705
690,4022.585
691,1657.0468000000003
692,18.0153
693,443.54429999999996
694,32785.399100000046
695,9284.872599999993
696,233.2218
697,407.50370000000004
698,770.9350000000001
699,165.1891
700,2406.8174000000004
701,18.0153
702,18.0153
703,2562.9991
704,218.2502
705,847.8915999999999
706,131.1729
707,1163.4689000000003
708,1553.8395000000003
709,89.0932
710,4130.857499999999
711,533.5774
712,446.4984999999999
713,347.36420000000004
714,1381.6113
715,3567.1269
716,1879.1617
717,1863.2650000000003
718,7528.714999999998
719,13959.220099999982
720,529.5886
721,753.9063
722,876.0291000000001
723,2716.378500000001
724,626.7004000000001
725,562.5707
726,2166.5033
727,1820.2004000000002
728,881.9295999999999
729,4796.7425
730,1070.3292000000001
731,957.1863000000001
732,804.8919999999999
733,231.2489
734,18.0153
735,2836.2321000000006
736,2361.6130000000003
737,1926.1651000000006
738,1086.2063
739,283.2837999999999
740,389.40749999999997
741,1920.129
742,174.201
743,3096.5454999999993
744,1138.2873000000002
745,1916.0810000000001
746,4311.9155999999975
747,1525.6671999999996
748,526.5632
749,845.9039
750,774.9288000000001
751,556.6092000000001
752,674.702
753,1182.3136000000002
754,466.5726999999999
755,222.2404
756,1009.094
757,3569.8807000000015
758,4838.4766
759,1607.7281
760,252.2664
761,1182.3333
762,774.8197
763,18.0153
764,2412.5009999999997
765,1403.6022000000003
766,3157.5622000000003
767,1024.082
768,889.9766000000002
769,131.1729
770,1659.9069000000009
771,4832.543699999999
772,165.1891
773,18.0153
774,2070.7248000000004
